"DISCOUNT_ID","DISCOUNT_CODE","DESCRIPTION","TAG","DISCOUNT_START_DATE","DISCOUNT_END_DATE","needsOffers?","CNT"
"10056","PERIGRN15","Perigrn - $15 Discount for 12 mo.","","08-Jan-19","14-Sep-20","NO","0","false"
"10057","PERIGRN20","Perigrn - $20 Discount for 12 mo.","","08-Jan-19","14-Sep-20","NO","0","false"
"40742","SPECLHSIEQ","DEMO CHL SECURITY INSTALL AND EQUIPMENT","","01-Feb-19","31-Dec-20","NO","0","false"
"40743","SPECLHSS12","DEMO CHL SECURITY SERVICE FOR 12 MO.","","01-Feb-19","31-Dec-20","NO","0","false"
"40692","RPRDE00243","Free Up-tier Str/Str 10 to Ess 30 x 24m w/2Yr $240 ETF S/A","","12-Feb-19","13-May-20","NO","0","false"
"40695","RPRDP00245","Free Up-tier Ess/Ess 30 to Pref100 x 24m w/2Yr $240 ETF S/A","","12-Feb-19","13-May-20","NO","0","false"
"40696","RPRDP00246","Free Up-tier Pref50 to Pref100 x 24m w/2Yr $240 ETF S/A","","12-Feb-19","13-May-20","NO","0","false"
"40697","RPRDU00245","Free Up-tier P50 or 150  to Ult x 24m w/2Yr $240 ETF S/A","","12-Feb-19","13-May-20","NO","0","false"
"40698","RPRDU00246","Free Up-tier Premier to Ultimate x 24m w/2Yr $240 ETF S/A","","12-Feb-19","13-May-20","NO","0","false"
"40666","AC184WPODS","$99.99 3-Pack WiFi Pods","","24-Feb-19","31-Dec-20","NO","0","false"
"40925","WE191CCC12","10% Off Cox Complete Care for 12 mo.","","28-Feb-19","29-Jun-20","NO","0","false"
"40864","ROTPX15242","Any 3 premiums for $15 for 24 months","","02-Apr-19","30-Jun-20","NO","0","false"
"40865","RPRPH00241","HBO Free with new Service Agreement for 24 mos","","02-Apr-19","13-May-20","NO","0","false"
"40744","WE191PA12U","Add any 1 Premium for $5 for 12mo.","","02-Apr-19","29-Jun-20","NO","0","false"
"40745","WE191PX12U","Add All 4 Premiums for $10/mo for 12mo.","","02-Apr-19","29-Jun-20","NO","0","false"
"41118","SPCHLBLKEQ","Restricted MDU Owned Equipment","","08-Apr-19","31-Dec-20","NO","0","false"
"41136","EMP91DVRT","Employee Trial - Cloud DVR $0 for 1 mo.","","22-Apr-19","30-Mar-20","NO","0","false"
"41163","RPRCA01121","$1.50 Off Contour 2 Receiver rental for 12 months","","25-Apr-19","13-May-20","NO","0","false"
"41151","EMP91CEG6","Employee Pilot - $9.99 Cox Elite Gamer Service for 6 mo.","","29-Apr-19","30-Mar-20","NO","0","false"
"41137","EMP91CHLT","Employee Trial - CHL Service at $0 for 6mo + Free Install","","01-May-19","30-Mar-20","NO","0","false"
"41160","SPCHLBLKEQ","Restricted MDU Owned Equipment","","09-May-19","31-Dec-20","NO","0","false"
"41199","AC192OTQ","Free Battery Replacement","","17-Jun-19","31-Dec-20","NO","0","false"
"41245","SRPHONE","Senior Telephone Discount","","20-Jun-19","31-Dec-20","NO","0","false"
"41201","CS2PSFPI","Free Phone Install for CS2PS disconnects","","24-Jun-19","31-Dec-20","NO","0","false"
"41295","SPCHLBKEQA","Resticted MDU Owned Automation Equipment ","","27-Jun-19","29-Jun-20","NO","0","false"
"41344","CHC192G136","$44.99 Cox Homelife Care Go Service for 36 mo.","","22-Jul-19","29-Jun-20","NO","0","false"
"41678","BU193FPI","Free Pro Install for Bulk Services at Greenspring Village","","05-Oct-19","29-Jun-20","NO","0","false"
"41679","CHC192C1AD","$59.99 Voice Button or Pendant  ","","07-Oct-19","29-Jun-20","NO","0","false"
"41642","GC92TR100","$100 Gift Card for 3P/4P Transfer","","15-Oct-19","31-Mar-20","NO","0","false"
"41640","GC92TR50","$50 Gift Card for 1P Transfer","","15-Oct-19","31-Mar-20","NO","0","false"
"41641","GC92TR75","$75 Gift Card for 2P Transfer","","15-Oct-19","31-Mar-20","NO","0","false"
"41645","RCECS0512","$5 Off Video for 12 mos - Executive Escalation ONLY","","01-Nov-19","31-Dec-20","NO","0","false"
"41649","RCECS1012","$10 Off Video for 12 mos - Executive Escalation ONLY","","01-Nov-19","31-Dec-20","NO","0","false"
"41650","RCECS4012","$40 Off Video for 12 mos - Executive Escalation ONLY","","01-Nov-19","31-Dec-20","NO","0","false"
"41646","RCEDS0512","$5 Off Data for 12 mos - Executive Escalation ONLY","","01-Nov-19","31-Dec-20","NO","0","false"
"41647","RCEDS1012","$10 Off Data for 12 mos - Executive Escalation ONLY","","01-Nov-19","31-Dec-20","NO","0","false"
"41648","RCEDS4012","$40 Off Data for 12 mos - Executive Escalation ONLY","","01-Nov-19","31-Dec-20","NO","0","false"
"41787","CHL194SARE","CHL Essential SA Renewal - Free Doorlock with DropShip","","02-Dec-19","31-Jul-20","NO","0","false"
"41878","PACCESSD12","Product Accessibility Program - Data Service","","10-Dec-19","31-Dec-20","NO","0","false"
"41877","PACCESSH12","Product Accessibility Program - Homelife Service","","10-Dec-19","31-Dec-20","NO","0","false"
"41882","PACCESSP12","Product Accessibility Program - Phone Service","","10-Dec-19","31-Dec-20","NO","0","false"
"41879","PACCESSV12","Product Accessibility Program - Video Service","","10-Dec-19","31-Dec-20","NO","0","false"
"42372","EBRSCHBD","Discount data- billed data on CB account-school board member","","20-Dec-19","31-Dec-20","NO","0","false"
